COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Mauritius,Africa,222848,17522.693,0,0.0,0,996,78.316,0,0.0,0,0.4469404331856981,MUS,AFRO,REPORTING,5/8/2022,2698115.0,1000474.0,212.155,78.668,963452.0,75.757,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/2021,3.0,607749.0,47.788
Lao People's Democratic Republic,Western Pacific,209028,2873.016,1180,16.219,89,752,10.336,6,0.082,1,0.3597613100657984,LAO,WPRO,REPORTING,4/6/2022,10527679.0,5670200.0,144.699,77.935,4614786.0,63.429,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/2020,8.0,1289144.0,17.719
Kyrgyzstan,Europe,200993,3080.734,0,0.0,0,2991,45.845,0,0.0,0,1.48811938972985,KGZ,EURO,REPORTING,5/1/2022,2786644.0,1412449.0,42.7,21.649,1238165.0,18.978,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",3/31/2021,6.0,136030.0,2.085
Iceland,Europe,186179,51129.255,438,120.285,90,120,32.955,1,0.275,0,0.0644542933394981,ISL,EURO,REPORTING,4/3/2022,797004.0,306009.0,218.9,84.037,296252.0,81.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,248616.0,68.276
Maldives,South-East Asia,179483,33204.142,55,10.175,0,298,55.13,0,0.0,0,0.1660335026877068,MDV,SEARO,REPORTING,5/9/2022,941585.0,398597.0,174.192,73.74,383980.0,71.036,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,8.0,159008.0,29.416
Uganda,Africa,164153,358.875,29,0.063,0,3598,7.866,0,0.0,0,2.191849529780564,UGA,AFRO,REPORTING,5/8/2022,20899440.0,15686085.0,45.691,34.293,10568519.0,23.105,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/10/2021,5.0,65835.0,0.144
El Salvador,Americas,162089,2498.981,0,0.0,0,4129,63.658,1,0.015,1,2.547358303244402,SLV,AMRO,REPORTING,5/6/2022,10650522.0,4579500.0,164.203,70.604,4288368.0,66.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6.0,1597387.0,24.627
Ghana,Africa,161269,519.001,47,0.151,0,1445,4.65,0,0.0,0,0.8959520309209424,GHA,AFRO,REPORTING,5/8/2022,13047826.0,9688415.0,41.991,31.18,6030567.0,19.408,"Gamaleya - Gam-Covid-Vac,SII - Covishield",3/2/2021,2.0,438799.0,1.412
Namibia,Africa,159052,6259.659,241,9.485,0,4026,158.447,1,0.039,0,2.5312401202685324,NAM,AFRO,REPORTING,5/8/2022,834756.0,479078.0,32.853,18.855,408202.0,16.065,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,4.0,55574.0,2.187
Guadeloupe,Americas,152516,38117.184,2561,640.052,0,945,236.177,1,0.25,0,0.6196076814068951,GLP,AMRO,REPORTING,5/6/2022,373576.0,148333.0,93.365,37.072,142425.0,35.595,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/8/2021,6.0,82818.0,20.698
