Country,Alcoholic Beverages,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished
Luxembourg,8.0858,14.6038,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,8.1121,0.0308,0.563,4.8536,35.3838,24.2,<2.5
Madagascar,0.7972,4.9125,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,1.0922,0.0261,0.3115,1.8871,45.0869,4.5,44.4
Malawi,1.1827,2.7754,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.6412,0.0161,0.204,3.9786,47.2242,4.7,17.5
Malaysia,0.8948,12.6354,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,3.903,0.0835,1.6336,6.1678,37.3632,15.3,2.5
Maldives,0.6859,14.2704,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,2.979,0.7569,0.1819,7.718,35.7208,7.9,10.3
Mali,2.8904,10.1637,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.8811,0.2374,0.5144,7.2943,39.8262,7.1,6.3
Malta,3.9051,13.6092,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,5.2164,0.1236,0.486,11.2856,36.3899,31.0,<2.5
Mauritania,0.0055,15.0193,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,4.3166,0.0,1.5716,3.9784,34.9779,11.3,10.4
Mauritius,3.0805,9.27,17.1855,0.591,2.1303,3.568,4.6992,1.7166,3.568,0.0369,2.049,6.7122,40.7175,11.5,6.5
Mexico,4.4105,15.1527,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,3.2266,0.1121,0.6856,5.0713,34.8456,28.4,3.6
Mongolia,3.143,25.8904,10.1415,0.3727,0.044,1.0413,8.0929,15.856,1.468,0.0137,0.555,4.3326,24.1046,19.6,13.4
Montenegro,2.2188,22.8328,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,6.0418,0.0948,0.4258,5.0001,27.1612,24.9,<2.5
Morocco,0.287,8.4754,18.7029,0.4848,1.3901,7.211,2.5074,3.754,2.6816,0.2549,0.8168,7.286,41.5224,25.6,3.4
Mozambique,1.2195,4.0111,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,1.0649,0.2011,0.7509,2.7738,45.9864,6.0,27.9
Myanmar,0.2195,13.5188,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,2.8592,0.2913,0.6322,7.0725,36.4807,5.7,10.6
Namibia,5.4716,9.6094,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,3.9848,0.0114,0.9531,2.3626,40.38,15.0,27.3
Nepal,0.3318,5.4355,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.547,0.0978,0.8209,9.277,44.5576,3.8,8.7
Netherlands,4.3903,24.2977,4.9685,0.747,1.1517,4.923,4.0105,18.0051,2.3446,0.1587,0.8485,3.2587,25.6959,23.1,<2.5
New Zealand,5.222,17.5777,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,3.8188,0.1499,0.5364,6.6889,32.4155,32.0,<2.5
Nicaragua,1.7194,13.1538,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,5.7021,0.003,0.9227,3.5808,36.8356,21.8,17
Niger,0.0558,7.2385,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.3666,0.0,0.3975,10.6117,42.7585,4.7,16.5
Nigeria,4.0037,1.7391,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.6501,0.0841,0.8573,6.2627,48.2585,7.8,13.4
North Macedonia,1.9045,12.0639,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,2.9104,0.1796,0.9505,14.5512,37.933,23.9,3.2
Norway,3.7939,21.1992,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,2.2652,0.099,0.8697,3.9131,28.7933,25.0,<2.5
Oman,0.2621,13.5101,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,2.5903,0.0521,0.6995,10.8902,36.486,22.9,6.8
Pakistan,0.0085,22.2758,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,2.6707,0.0852,0.3417,2.2173,27.7226,7.8,20.3
Panama,6.6254,12.3346,14.2627,0.4604,1.005,6.6783,4.98,5.353,4.2277,0.036,0.7645,1.948,37.6619,22.5,10
Paraguay,3.9095,11.2654,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,2.4084,0.0015,1.0733,3.7113,38.726,19.0,10.7
Peru,3.8623,8.6638,11.814,0.6431,1.7993,8.5783,1.754,4.0729,1.7339,0.023,0.5066,4.8044,41.3344,19.1,9.7
Philippines,1.9716,6.7108,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,2.3774,0.1838,0.4119,5.4481,43.2905,6.0,13.3
Poland,6.8201,16.559,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,2.4775,0.0476,0.3959,6.8655,33.439,25.6,<2.5
Portugal,4.7147,18.6614,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,1.7316,0.2319,0.7246,7.3366,31.3374,23.2,<2.5
Romania,4.7679,15.9287,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,1.4126,0.1093,0.7301,9.3641,34.0679,24.5,<2.5
Russian Federation,3.7425,16.1525,8.2803,0.9029,1.1312,3.162,4.318,9.3253,4.6144,0.0118,0.8663,6.3713,33.8472,25.7,<2.5
Rwanda,1.3631,2.6366,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.5782,0.0,0.2109,2.7193,47.3634,4.8,36.8
Saint Vincent and the Grenadines,2.526,11.0865,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,3.4592,0.0357,0.7227,5.1371,38.9005,23.8,5.7
Samoa,1.4236,11.163,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,2.0811,0.0108,0.5117,1.1656,38.8349,45.5,2.7
Sao Tome and Principe,1.5187,4.1199,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,2.5939,0.0024,0.7805,0.857,45.8801,10.6,7
Saudi Arabia,0.0,12.9962,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,2.8571,0.1135,1.7626,5.7024,37.0038,35.0,7.1
Senegal,0.3209,5.3434,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,2.0941,0.1047,1.9325,7.8951,44.6423,7.4,11.3
Serbia,4.392,16.7466,9.7485,0.6322,0.4148,5.9753,3.5893,11.619,2.0255,0.1268,0.4644,7.3941,33.2476,23.5,5.7
Sierra Leone,0.3009,5.6877,19.9349,0.1343,2.5044,3.2119,0.7837,2.1711,0.6323,0.1,1.276,4.5526,44.3138,7.5,25.6
Slovakia,6.1266,18.9841,5.4026,0.939,0.7045,3.5463,4.3096,11.4696,5.5166,0.1118,1.438,4.5601,31.0231,22.4,3.4
Slovenia,4.9933,18.9196,7.6345,0.5376,0.6515,6.4367,4.161,12.2569,2.4915,0.1972,0.4739,5.002,31.0774,22.5,<2.5
Solomon Islands,0.8298,3.8504,9.0233,0.0826,2.284,3.2798,0.8897,0.438,0.8268,0.0356,0.3327,1.1223,46.1492,20.5,8.9
South Africa,6.2658,11.8433,17.1035,0.594,0.5365,1.9355,5.3933,4.8155,4.4677,0.0108,1.1726,3.7632,38.1554,27.0,6.2
Spain,5.3152,18.3382,6.0548,0.7321,2.2646,4.8332,5.3456,9.5991,1.8482,0.4287,1.5122,7.8139,31.6581,27.1,<2.5
Sri Lanka,0.681,5.5328,20.7839,0.4178,3.0173,4.1171,0.8845,1.0948,2.7209,0.135,0.2466,4.8753,44.4618,5.4,9
Sudan,0.0,13.1178,12.9192,0.1176,0.1018,7.0919,2.1133,10.4116,3.1231,0.0,0.9366,8.3477,36.8813,7.4,20.1
Suriname,4.1704,6.7984,13.9476,0.5407,1.4348,8.6872,3.6451,1.0789,4.7051,0.0155,1.3351,5.3705,43.1917,26.5,8.5
Sweden,4.4232,24.0627,6.1923,0.7266,1.7659,3.5405,4.1476,16.3687,2.5211,0.0996,0.3967,4.611,25.9282,22.1,<2.5
Switzerland,4.9978,22.4227,5.9818,0.5377,0.9109,4.6041,3.6314,16.706,2.9737,0.2377,1.0637,4.9478,27.5705,21.2,<2.5
Thailand,3.6223,7.7828,17.5571,1.1143,2.6297,8.3291,2.4675,1.3279,4.0424,0.0938,0.7816,3.5962,42.2145,10.8,7.8
Timor-Leste,0.4459,5.4983,26.332,0.1025,1.0225,2.1027,4.0376,0.1307,2.8203,0.0013,0.6842,3.1867,44.503,2.9,24.9
Togo,1.0144,3.6702,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,1.8312,0.0,1.4099,2.1637,46.3287,7.1,16.1
Trinidad and Tobago,2.4881,12.7835,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,5.62,0.0928,1.2563,3.5256,37.2145,19.7,5.5
Tunisia,0.7037,9.6312,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,2.0832,0.3489,1.2551,15.7731,40.3673,27.3,4.3
Turkey,0.6474,12.3156,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,1.7004,0.4664,1.0174,13.5284,37.6836,32.2,<2.5
Turkmenistan,0.5038,16.0611,14.8029,0.5139,0.2137,4.1441,4.3767,10.5606,0.6746,0.0283,0.5655,10.4014,33.9389,17.5,5.4
Uganda,6.1671,5.6473,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,1.2601,0.0,0.744,2.6703,44.3536,4.1,41
Ukraine,2.625,13.1214,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,3.8811,0.0807,0.647,9.4361,36.8777,26.1,3.5
United Arab Emirates,0.0,10.5491,12.906,0.5958,1.9682,8.1938,4.94,2.6468,3.6576,0.5838,0.7949,8.2695,39.4461,29.9,2.6
United Kingdom,5.2632,18.8798,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,2.4383,0.0901,0.7372,4.5851,31.1116,29.5,<2.5
United Republic of Tanzania,4.5185,4.8022,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,1.0345,0.042,0.9136,3.952,45.1973,7.1,30.7
United States of America,4.8647,21.2352,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,3.32,0.1772,0.9889,5.7249,28.7587,37.3,<2.5
Uruguay,3.5664,17.8865,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,3.4102,0.0131,1.0337,3.9333,32.1076,28.9,<2.5
Uzbekistan,0.6835,14.4463,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.5796,0.0649,0.6109,14.8354,35.554,15.3,6.3
Vanuatu,0.2424,6.6244,6.4102,0.1875,2.1649,5.8103,2.7466,1.2692,1.3645,0.0038,0.3674,3.9175,43.3737,23.5,7.2
Venezuela (Bolivarian Republic of),2.5952,14.7565,12.9253,0.3389,0.9456,7.646,3.8328,9.392,3.4106,0.0009,1.3734,4.1474,35.2416,25.2,21.2
Vietnam,1.4591,8.5765,16.874,0.3077,2.6392,5.9029,4.4382,0.6069,1.2846,0.307,0.2201,11.9508,41.4232,2.1,9.3
Yemen,0.0364,5.7874,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,5.0468,0.0017,1.0811,3.2135,44.2126,14.1,38.9
Zambia,5.736,6.0197,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,1.5632,0.0014,0.6657,3.4649,43.9789,6.5,46.7
Zimbabwe,4.0552,8.1489,22.624,0.2678,0.5518,2.2,2.6142,4.431,4.6485,0.0518,1.7103,2.3213,41.8526,12.3,51.3
