COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Alcoholic Beverages,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Predicted Correlations
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54,1.21583407651733,IND,SEARO,REPORTING,5/10/2022,1906551885,1004921253,138.155,72.82,871590794,63.159,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",1/16/2021,8,30039838,2.177,0.1959,11.3357,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,1.7471,0.1526,0.7487,7.5213,38.6568,3.8,14.5,100
Indonesia,South-East Asia,6049541,2211.707,2050,0.749,400,156424,57.188,103,0.038,8,2.58569512146048,IDN,SEARO,REPORTING,5/10/2022,406244365,199370175,148.523,72.89,165719307,60.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,7,41154883,15.046,0.0794,6.2575,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,1.8481,0.0564,0.8579,3.8558,43.7438,6.9,8.3,24.5
Iran (Islamic Republic of),Eastern Mediterranean,7226219,8603.364,2643,3.147,460,141192,168.1,61,0.073,3,1.95388687494798,IRN,EMRO,REPORTING,5/8/2022,148519147,64352741,176.823,76.617,57591669,68.567,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2/9/2021,12,26574737,31.639,0.0007,7.9295,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,2.198,0.6421,0.7706,12.5207,42.0701,25.5,4.9,4.91
Iraq,Eastern Mediterranean,2325871,5782.513,584,1.452,131,25215,62.689,3,0.007,1,1.08411342957638,IRQ,EMRO,REPORTING,5/8/2022,18142685,10557921,45.106,26.249,7414628,18.434,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/2/2021,10,170136,0.423,0.1915,6.2809,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,3.3755,0.1268,2.0139,4.9563,43.7165,27.4,29.0,2.27
Ireland,Europe,1527328,30765.363,5280,106.356,424,7167,144.367,37,0.745,6,0.469251736116359,IRL,EURO,REPORTING,5/1/2022,10781457,4033681,217.2,81.251,3989700,80.366,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,2994751,60.324,7.5703,18.5712,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,4.0147,0.0836,0.7497,4.951,31.4242,26.9,0.0,0.0218
Israel,Europe,4098807,47354.718,14564,168.262,2021,10749,124.186,3,0.035,1,0.262246308804964,ISR,EURO,REPORTING,4/17/2022,15012927,7053159,173.4,81.487,6380981,73.721,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/16/2020,3,1578787,18.24,1.2876,18.7463,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,1.7747,0.2262,1.6743,8.8586,31.2472,26.7,0.0,0.498
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158,0.976321408053123,ITA,EURO,REPORTING,5/1/2022,135709653,50370974,227.5,84.461,47441188,79.544,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,39376794,66.022,3.1892,19.0329,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,1.7175,0.423,1.4224,6.9463,30.9671,22.9,0.0,1.97
Jamaica,Americas,131327,4434.974,989,33.399,0,2980,100.636,11,0.371,0,2.26914520806661,JAM,AMRO,REPORTING,5/6/2022,1420563,792047,47.973,26.748,688645,23.256,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/10/2021,5,37608,1.27,2.4636,11.9958,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,4.6889,0.011,0.7584,6.4772,38.0023,24.4,8.0,0.0751
Japan,Western Pacific,8172238,6461.47,220046,173.982,39041,29894,23.636,211,0.167,51,0.365799113823944,JPN,WPRO,REPORTING,4/27/2022,270695768,103153093,214.029,81.559,101458832,80.22,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/17/2021,4,66083843,52.25,4.044,15.3194,12.1692,1.696,3.9283,2.8618,4.2599,5.063,2.2055,0.0812,1.3445,7.8669,34.6776,4.4,0.0,1.25
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0.0,0,0.829339188237798,JOR,EMRO,REPORTING,5/5/2022,9901017,4764976,97.039,46.701,4486523,43.972,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,10,653646,6.406,0.0846,9.3186,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,4.7276,0.1652,1.9861,10.6308,40.6798,33.4,12.2,0.22
Kazakhstan,Europe,1394649,7427.548,104,0.554,5,19014,101.264,1,0.005,0,1.36335705942257,KAZ,EURO,REPORTING,5/1/2022,24513997,10529186,130.6,56.076,10145531,54.033,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",4/7/2021,5,3839280,20.447,2.1919,19.1598,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,1.456,0.0845,1.1215,10.2055,30.8394,21.3,0.0,0.304
Kenya,Africa,323900,602.366,104,0.193,0,5649,10.506,0,0.0,0,1.74412234422262,KEN,AFRO,REPORTING,5/8/2022,17927457,11711277,33.34,21.78,8315517,15.465,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021,5,304280,0.566,1.9664,11.4394,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,1.8098,0.0892,0.6689,4.345,38.5589,6.0,29.4,2.4
Kiribati,Western Pacific,3093,2589.39,9,7.535,0,13,10.883,0,0.0,0,0.420292037893094,KIR,WPRO,REPORTING,4/15/2022,144216,79764,120.734,66.777,58191,48.716,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",5/26/2021,2,6261,5.242,0.297,8.8958,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,4.1373,0.1951,0.4419,4.1389,41.1042,45.6,2.7,0.0153
Kuwait,Eastern Mediterranean,632074,14800.691,247,5.784,0,2555,59.828,0,0.0,0,0.404224370335142,KWT,EMRO,REPORTING,5/10/2022,7990026,3421731,187.095,80.124,3300602,77.287,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/28/2020,10,1267693,29.684,0.0044,10.7213,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,2.9163,0.1512,1.1976,12.9953,39.275,37.0,2.8,0.0951
Kyrgyzstan,Europe,200993,3080.734,0,0.0,0,2991,45.845,0,0.0,0,1.48811938972985,KGZ,EURO,REPORTING,5/1/2022,2786644,1412449,42.7,21.649,1238165,18.978,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",3/31/2021,6,136030,2.085,0.6313,15.4588,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,3.2495,0.1449,0.355,11.3219,34.5412,15.4,7.1,0.13
Lao People's Democratic Republic,Western Pacific,209028,2873.016,1180,16.219,89,752,10.336,6,0.082,1,0.359761310065798,LAO,WPRO,REPORTING,4/6/2022,10527679,5670200,144.699,77.935,4614786,63.429,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/2020,8,1289144,17.719,0.7883,3.6579,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,1.1101,0.0028,0.2149,11.641,46.3416,4.5,16.5,0.743
Latvia,Europe,824926,43242.481,1816,95.194,291,5792,303.616,15,0.786,2,0.702124376258615,LVA,EURO,REPORTING,4/24/2022,2820615,1300253,147.9,68.159,1267891,66.463,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,524483,27.493,5.4573,18.8216,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,2.6169,0.0793,0.699,6.1946,31.1757,25.7,0.0,0.0187
Lebanon,Eastern Mediterranean,1097643,16081.633,525,7.692,68,10402,152.4,10,0.147,2,0.947664954174741,LBN,EMRO,REPORTING,5/9/2022,5613936,2679956,82.25,39.264,2356112,34.52,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/14/2021,10,577868,8.466,0.7164,8.0679,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,5.1366,0.5271,1.4807,10.5128,41.9252,31.3,11.0,0.238
Liberia,Africa,7434,146.984,0,0.0,0,294,5.813,0,0.0,0,3.95485222881402,LBR,AFRO,REPORTING,5/8/2022,1837296,1751520,36.327,34.631,1438154,28.435,SII - Covishield,4/1/2021,1,1912,0.038,1.0338,3.7603,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,1.1236,0.0779,1.9567,3.1728,46.2383,8.6,37.2,0.204
Lithuania,Europe,1060058,37939.293,1064,38.08,198,9123,326.511,12,0.429,1,0.860614350404474,LTU,EURO,REPORTING,5/1/2022,4466348,1949989,159.8,69.944,1899322,67.976,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,886648,31.733,5.5419,23.049,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,4.502,0.055,0.4924,4.4045,26.9471,28.4,0.0,0.0325
Luxembourg,Europe,242194,38682.464,2859,456.63,16,1071,171.057,5,0.799,1,0.44220812821024,LUX,EURO,REPORTING,5/1/2022,1255649,468958,200.5,74.9,461798,73.757,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,359283,57.384,8.0858,14.6038,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,8.1121,0.0308,0.563,4.8536,35.3838,24.2,0.0,0.00235
Madagascar,Africa,64236,231.974,55,0.199,0,1393,5.031,2,0.007,0,2.16877753541345,MDG,AFRO,REPORTING,5/8/2022,2369775,1290584,8.558,4.661,1156975,4.178,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",5/10/2021,3,27380,0.099,0.7972,4.9125,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,1.0922,0.0261,0.3115,1.8871,45.0869,4.5,44.4,0.0999
Malawi,Africa,85816,448.595,26,0.136,0,2634,13.769,0,0.0,0,3.06936100491535,MWI,AFRO,REPORTING,5/8/2022,2054585,1596607,10.74,8.346,908688,4.75,"Janssen - Ad26.COV 2-S,SII - Covishield",3/11/2021,2,740,0.004,1.1827,2.7754,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.6412,0.0161,0.204,3.9786,47.2242,4.7,17.5,0.482
Malaysia,Western Pacific,4463740,13791.448,11959,36.949,2605,35590,109.961,26,0.08,6,0.797312943499479,MYS,WPRO,REPORTING,5/6/2022,70366312,27780052,217.408,85.831,26759334,82.677,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,8,16040304,49.559,0.8948,12.6354,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,3.903,0.0835,1.6336,6.1678,37.3632,15.3,2.5,0.742
Maldives,South-East Asia,179483,33204.142,55,10.175,0,298,55.13,0,0.0,0,0.166033502687707,MDV,SEARO,REPORTING,5/9/2022,941585,398597,174.192,73.74,383980,71.036,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,8,159008,29.416,0.6859,14.2704,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,2.979,0.7569,0.1819,7.718,35.7208,7.9,10.3,0.00996
Malta,Europe,93041,18081.521,891,173.156,123,713,138.564,11,2.138,2,0.766329337006549,MLT,EURO,REPORTING,4/24/2022,1216447,449828,236.4,87.419,443707,86.23,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,347060,67.447,3.9051,13.6092,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,5.2164,0.1236,0.486,11.2856,36.3899,31.0,0.0,0.00263
Mauritania,Africa,58743,1263.383,48,1.032,0,982,21.12,0,0.0,0,1.67170208875693,MRT,AFRO,REPORTING,5/8/2022,2650797,1567060,57.011,33.703,1068169,22.973,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2,47137,1.014,0.0055,15.0193,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,4.3166,0.0,1.5716,3.9784,34.9779,11.3,10.4,0.358
Mauritius,Africa,222848,17522.693,0,0.0,0,996,78.316,0,0.0,0,0.446940433185698,MUS,AFRO,REPORTING,5/8/2022,2698115,1000474,212.155,78.668,963452,75.757,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/2021,3,607749,47.788,3.0805,9.27,17.1855,0.591,2.1303,3.568,4.6992,1.7166,3.568,0.0369,2.049,6.7122,40.7175,11.5,6.5,0.0284
Mexico,Americas,5745652,4456.317,2292,1.778,0,324465,251.654,6,0.005,0,5.64712968130409,MEX,AMRO,REPORTING,5/6/2022,201861103,85904997,156.563,66.628,79947470,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/2020,7,48258084,37.429,4.4105,15.1527,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,3.2266,0.1121,0.6856,5.0713,34.8456,28.4,3.6,4.05
Mongolia,Western Pacific,922227,28131.343,802,24.464,0,2111,64.393,1,0.031,0,0.228901265040919,MNG,WPRO,REPORTING,5/6/2022,5619236,2273095,171.408,69.338,2175855,66.372,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,6,1041240,31.762,3.143,25.8904,10.1415,0.3727,0.044,1.0413,8.0929,15.856,1.468,0.0137,0.555,4.3326,24.1046,19.6,13.4,0.0741
Montenegro,Europe,235939,37566.196,539,85.82,107,2717,432.601,2,0.318,0,1.15156988479749,MNE,EURO,REPORTING,4/10/2022,528839,276421,84.2,44.45,252418,40.59,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2/24/2021,5,0,0.0,2.2188,22.8328,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,6.0418,0.0948,0.4258,5.0001,27.1612,24.9,0.0,0.0171
Morocco,Eastern Mediterranean,1165366,3157.27,362,0.981,83,16071,43.54,2,0.005,0,1.37903948664511,MAR,EMRO,REPORTING,5/10/2022,54485117,24908701,147.614,67.484,23387915,63.364,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/28/2021,10,6286214,17.031,0.287,8.4754,18.7029,0.4848,1.3901,7.211,2.5074,3.754,2.6816,0.2549,0.8168,7.286,41.5224,25.6,3.4,1.18
Mozambique,Africa,225430,721.251,43,0.138,0,2201,7.042,0,0.0,0,0.976359131564462,MOZ,AFRO,REPORTING,5/8/2022,31616078,14816217,101.154,47.404,13891137,44.444,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/8/2021,3,340293,1.089,1.2195,4.0111,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,1.0649,0.2011,0.7509,2.7738,45.9864,6.0,27.9,0.802
Myanmar,South-East Asia,613066,1126.757,101,0.186,0,19434,35.718,0,0.0,0,3.16998252506974,MMR,SEARO,REPORTING,5/9/2022,55949240,30782442,102.829,56.575,23672564,43.508,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/27/2021,2,1494234,2.746,0.2195,13.5188,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,2.8592,0.2913,0.6322,7.0725,36.4807,5.7,10.6,5.17
Namibia,Africa,159052,6259.659,241,9.485,0,4026,158.447,1,0.039,0,2.53124012026853,NAM,AFRO,REPORTING,5/8/2022,834756,479078,32.853,18.855,408202,16.065,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,4,55574,2.187,5.4716,9.6094,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,3.9848,0.0114,0.9531,2.3626,40.38,15.0,27.3,0.0497
Nepal,South-East Asia,978978,3359.936,94,0.323,18,11952,41.02,0,0.0,0,1.22085658774453,NPL,SEARO,REPORTING,5/9/2022,45693223,22326785,156.823,76.627,19701003,67.616,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/27/2021,8,3665435,12.58,0.3318,5.4355,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.547,0.0978,0.8209,9.277,44.5576,3.8,8.7,1.96
Netherlands,Europe,8063029,46319.056,10007,57.486,1586,22281,127.996,19,0.109,3,0.276335510810065,NLD,EURO,REPORTING,5/1/2022,36126361,13465622,207.5,77.355,12405837,71.267,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",1/6/2021,6,9304880,53.453,4.3903,24.2977,4.9685,0.747,1.1517,4.923,4.0105,18.0051,2.3446,0.1587,0.8485,3.2587,25.6959,23.1,0.0,0.75
New Zealand,Western Pacific,1009876,20942.082,52135,1081.138,8047,855,17.73,102,2.115,29,0.0846620694160208,NZL,WPRO,REPORTING,5/6/2022,11053632,4263702,229.222,88.418,4074691,84.498,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/19/2021,4,2660782,55.177,5.222,17.5777,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,3.8188,0.1499,0.5364,6.6889,32.4155,32.0,0.0,0.136
Nigeria,Africa,255766,124.074,0,0.0,0,3143,1.525,0,0.0,0,1.2291052114061,NGA,AFRO,REPORTING,5/8/2022,41091354,27401621,19.934,13.293,15931011,7.728,SII - Covishield,3/5/2021,1,942369,0.457,4.0037,1.7391,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.6501,0.0841,0.8573,6.2627,48.2585,7.8,13.4,8.13
North Macedonia,Europe,310413,14899.49,625,29.999,115,9287,445.766,1,0.048,0,2.99182052540053,MKD,EURO,REPORTING,5/1/2022,1847640,853497,88.7,41.108,836829,40.305,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2/17/2021,6,157314,7.577,1.9045,12.0639,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,2.9104,0.1796,0.9505,14.5512,37.933,23.9,3.2,0.0155
Norway,Europe,1428333,26610.372,1534,28.579,167,3006,56.003,0,0.0,0,0.210455532151148,NOR,EURO,REPORTING,5/1/2022,11293086,4333777,210.4,80.74,4038343,75.236,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,2927946,54.549,3.7939,21.1992,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,2.2652,0.099,0.8697,3.9131,28.7933,25.0,0.0,0.205
Oman,Eastern Mediterranean,389325,7623.918,199,3.897,19,4259,83.401,1,0.02,0,1.09393883827187,OMN,EMRO,REPORTING,4/27/2022,7039789,3261677,137.856,63.871,3030281,59.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11,747831,14.644,0.2621,13.5101,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,2.5903,0.0521,0.6995,10.8902,36.486,22.9,6.8,0.177
Pakistan,Eastern Mediterranean,1528833,692.117,877,0.397,31,30375,13.751,6,0.003,0,1.9868028093516,PAK,EMRO,REPORTING,5/8/2022,252931485,142432832,114.504,64.481,120303098,54.462,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/2021,11,6998766,3.168,0.0085,22.2758,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,2.6707,0.0852,0.3417,2.2173,27.7226,7.8,20.3,16.1
Panama,Americas,789830,18305.276,12172,282.101,1359,8194,189.906,9,0.209,1,1.0374386051322,PAN,AMRO,REPORTING,5/6/2022,8079415,3466298,187.25,80.336,3079475,71.371,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1529863,35.456,6.6254,12.3346,14.2627,0.4604,1.005,6.6783,4.98,5.353,4.2277,0.036,0.7645,1.948,37.6619,22.5,10.0,0.278
Paraguay,Americas,649718,9109.212,263,3.687,0,18872,264.59,2,0.028,0,2.90464202611598,PRY,AMRO,REPORTING,5/6/2022,8647379,3895435,121.238,54.615,3386833,47.484,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1363828,19.121,3.9095,11.2654,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,2.4084,0.0015,1.0733,3.7113,38.726,19.0,10.7,0.369
Peru,Americas,3570075,10827.644,3552,10.773,293,212957,645.875,92,0.279,11,5.96505574065789,PER,AMRO,REPORTING,5/6/2022,72763716,29189570,220.684,88.529,27002494,81.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,16316965,49.488,3.8623,8.6638,11.814,0.6431,1.7993,8.5783,1.754,4.0729,1.7339,0.023,0.5066,4.8044,41.3344,19.1,9.7,1.58
Philippines,Western Pacific,3687320,3364.924,1104,1.007,127,60439,55.155,27,0.025,0,1.63911577200555,PHL,WPRO,REPORTING,5/5/2022,147623883,73470137,134.717,67.046,68956057,62.927,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,13389430,12.219,1.9716,6.7108,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,2.3774,0.1838,0.4119,5.4481,43.2905,6.0,13.3,3.38
Poland,Europe,6001893,15811.874,3895,10.261,566,116164,306.032,94,0.248,14,1.93545685982572,POL,EURO,REPORTING,5/1/2022,54370993,22769680,143.2,59.986,22473613,59.206,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,11918350,31.399,6.8201,16.559,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,2.4775,0.0476,0.3959,6.8655,33.439,25.6,0.0,0.19
